word,occurence
 instruct ,7
 happens ,11
 importance ,2
 exalt ,2
 burning ,2
 flame ,7
 Sweet ,2
 firmly ,1
 misled ,1
 king ,2
 underworld ,4
 bitternesses ,1
 evils ,1
 pay ,5
 tested ,1
 Sunday ,1
 habit ,1
 offend ,2
 crucifixes ,1
 churches ,7
 room ,1
 modernism ,3
 False ,1
 betraying ,1
 clearer ,4
 event ,6
 nonconsecration ,1
 commemoration ,3
 descended ,2
 abundance ,1
 went ,3
 ecstasy ,3
 transparent ,1
 crystal ,2
 accompanied ,2
 emanated ,1
 faced ,1
 trials ,7
 support ,2
 demonstrate ,1
 accelerating ,2
 passed ,1
 Word ,21
 beats ,1
 bottom ,1
 afflicted ,2
 resurrecting ,1
 ideologies ,2
 profess ,1
 afflict ,1
 pupils ,1
 purity ,1
 guide ,4
 groups ,4
 risk ,2
 publicly ,2
 knees ,4
 knelt ,1
 announcing ,1
 echo ,1
 trumpet ,2
 sorrowful ,1
 weeps ,3
 high ,3
 turning ,3
 holds ,2
 doorstep ,1
 Coredemptrix ,6
 exchange ,1
 lie ,1
 hate ,1
 blows ,1
 bringing ,3
 punishes ,1
 freely ,1
 entered ,5
 means ,6
 hence ,1
 domestic ,1
 sacraments ,6
 subtly ,1
 settling ,1
 flood ,2
 Portugal ,1
 wicked ,1
 entry ,1
 nonstop ,1
 following ,4
 fighting ,3
 stay ,13
 restoring ,1
 destroying ,4
 ongoing ,1
 unable ,1
 judged ,5
 Think ,1
 creatures ,3
 Jewels ,1
 threaten ,1
 shed ,6
 miracle ,1
 grants ,1
 sincerely ,2
 humiliation ,1
 profaning ,1
 image ,2
 Creed ,1
 Salve ,1
 Regina ,1
 judgment ,1
 John ,1
 Repent ,1
 along ,3
 heavy ,2
 upright ,1
 Christmas ,4
 expectation ,2
 pomp ,1
 learned ,1
 attend ,3
 understanding ,2
 meaning ,1
 least ,4
 followed ,3
 orators ,1
 Live ,2
 born ,6
 shunned ,1
 slandered ,2
 Right ,1
 confession ,6
 acute ,1
 unconditional ,1
 absolute ,1
 compassion ,1
 increase ,4
 decrease ,1
 based ,1
 enveloped ,2
 lose ,4
 surrender ,1
 year ,5
 leaving ,1
 principles ,2
 implemented ,1
 project ,3
 Jerusalem ,2
 two ,3
 ago ,1
 happened ,4
 Noah ,2
 universal ,2
 history ,3
 repeat ,4
 urgently ,4
 either ,3
 brother ,2
 Great ,2
 worn ,1
 obey ,1
 alert ,1
 use ,5
 consoled ,2
 jewels ,2
 sows ,1
 weakest ,2
 messengers ,2
 sacrificing ,1
 willing ,1
 criticize ,1
 raised ,2
 Antichrist ,4
 presented ,1
 supported ,2
 peoples ,2
 lives ,12
 acclaim ,1
 Life ,5
 faces ,1
 Where ,2
 step ,2
 closeness ,1
 senses ,1
 invitation ,1
 belongs ,2
 magisterium ,3
 brainwash ,1
 rituals ,1
 exclusively ,1
 satanic ,1
 laughed ,1
 rest ,6
 weakened ,1
 sanctification ,1
 obstacles ,1
 reason ,5
 redemption ,2
 unleashed ,3
 separate ,1
 petrified ,1
 contemplate ,1
 thinking ,3
 appeals ,2
 worst ,11
 unleash ,2
 anticipated ,1
 meetings ,1
 evangelize ,7
 starting ,1
 suggestions ,1
 mortal ,1
 passing ,1
 palpitating ,1
 England ,1
 assist ,2
 aware ,2
 imagine ,4
 chasm ,1
 planning ,2
 doctors ,1
 Enough ,1
 pretense ,1
 playing ,1
 chill ,1
